uid_number,name,Node type,articleStudyCoords,articleDOI,processEcosystemOrigin,processEcosystemTarget,processWikidataID,processCURIE,taxonCommonName,taxonAttribute,taxonWikidataID,taxonCURIE,variableWikidataID,variableCURIE
101,Restored native prairie supports abundant and species-rich native bee communities on conventional farms,Article,"42.794, -80.4593",10.1111/rec.12987,,,,,,,,,,
102,Seeding process,Process,,,Annual croplands,Annual croplands,,ENVO:00000117,,,,,,
103,Floral abundance,Environmental variable,,,,,,,,,,,,
104,Nesting resources,Environmental variable,,,,,,,,,,,,
105,Species richness,Environmental variable,,,,,,,,,,,,
106,Augochlorella aurata,Taxon,,,,,,,Golden green sweat bee,Abundance,Q1985579,NCBITaxon:586896,,
107,Augochloropsis metallica,Taxon,,,,,,,Metallic epauletted-sweat bee,Abundance,Q2677178,NCBITaxon:115079,,
108,Augochlora pura,Taxon,,,,,,,Pure Green Sweat Bee,Abundance,Q5517118,NCBITaxon:115077,,
109,Agapostemon sericieus,Taxon,,,,,,,Silky striped sweat bee,Abundance,Q2034051,NCBITaxon:88595,,
110,Agapostemon texanus,Taxon,,,,,,,Metallic green sweat bee,Abundance,Q2747101,NCBITaxon:1889476,,
111,Agapostemon virescens,Taxon,,,,,,,Bicolored striped sweat bee,Abundance,Q3002253,NCBITaxon:115084,,
112,Apis mellifera,Taxon,,,,,,,Honeybee,Abundance,Q30034,NCBITaxon:7460,,
113,Andrena cardina,Taxon,,,,,,,,Abundance,,,,
114,Andrena commoda,Taxon,,,,,,,Advantaged miner bee,Abundance,Q2278504,NCBITaxon:1431437,,
115,Andrena distans,Taxon,,,,,,,Distant miner bee,Abundance,Q2536078,NCBITaxon:446235,,
116,Andrena dunningi,Taxon,,,,,,,Dunning's miner bee,Abundance,Q2176883,NCBITaxon:337472,,
117,Andrena eriginae,Taxon,,,,,,,Spring beauty miner bee,Abundance,Q2164934,NCBITaxon:205214,,
118,Andrena nasonii,Taxon,,,,,,,Bumped miner bee,Abundance,Q2205365,NCBITaxon:205203,,
119,Andrena nivalis,Taxon,,,,,,,Snow miner bee,Abundance,Q2191838,NCBITaxon:205185,,
120,Andrena placata,Taxon,,,,,,,Peaceful miner bee,Abundance,Q2378369,NCBITaxon:205247,,
121,Andrena platyparia,Taxon,,,,,,,Plated miner bee,Abundance,Q1909927,NCBITaxon:2283864,,
122,Andrena robertsonii,Taxon,,,,,,,Robertson's miner bee,Abundance,Q2747748,NCBITaxon:586965,,
123,Andrena splendons,Taxon,,,,,,,,Abundance,Q2747748),,,
124,Andrena sp.,Taxon,,,,,,,Miner bee,Abundance,Q517165,NCBITaxon:205261,,
125,Anthidiellum notatum notatum,Taxon,,,,,,,Northern rotund resin bee,Abundance,Q963090,NCBITaxon:156279,,
126,Bombus bimaculatus,Taxon,,,,,,,Two-spotted bumble bee,Abundance,Q2389840,NCBITaxon:309944,,
127,Bombus citrinus,Taxon,,,,,,,Lemon cuckoo bumblebee,Abundance,Q2233080,NCBITaxon:239130,,
