uid_number,from,to,type,knowledgeLevel,ecosystemContext,reportedIn,taxonAttribute,conditions
1001,101,102,DESCRIBES_OUTCOME_OF,,Annual croplands,10.1111/rec.12987,,
1002,102,103,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,,
1005,102,105,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,,
1006,102,106,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,
1007,102,107,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,
1008,102,108,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,
1009,102,109,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,
1010,102,110,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,
1011,102,111,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,
1012,102,112,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,
1013,102,113,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,
1014,102,114,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,
1015,102,115,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,
1016,102,116,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,
1017,102,117,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,
1018,102,118,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,
1019,102,119,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,
1020,102,120,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,
1021,102,121,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,
1022,102,122,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,
1023,102,123,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,
1024,102,124,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,
1025,102,125,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,
1026,102,126,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,
1027,102,127,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,
1028,102,128,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,
1029,102,129,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,
1030,102,130,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,
